Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Тип палива,Трансмісія,Тип приводу,Пропозиції,VIN-код,Фото,Посилання
Opel Insignia 2019 Innovation Grand Sport 2.0D AT (170 к.с) Start/Stop,34598,944200,Хмельницький,Дизель (2.0 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-insignia__561651-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-insignia-1784534.html
Opel Grandland X 2020 Innovation 1.5D 8AT (130 к.с) Start/Stop,29058,793000,Черкаси,Дизель (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__1033500-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1850672.html
Opel Zafira Life 2021 Enjoy 2.0 BlueHDi AT (180 к.с) L2,43238,443,Полтава,Дизель (2.0 л),Автомат,Передній привід,Ціну знижено / Краща ціна / Реєстрація в салоні / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-zafira-life__1246786-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-zafira-life-1860105.html
Opel Vivaro груз. 2021 Essentia Crew Cab 2.0 BlueHDi MT (150 к.с) L2,39171,1069000,Полтава,Дизель (2.0 л),Механічна,Передній привід,Краща ціна / Реєстрація в салоні / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-vivaro-gruz__1210888-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1860107.html
Opel Mokka 2021 Elegance 1.2 PureTech MT (101 к.с),21029,573900,Полтава,Бензин (1.2 л),Механічна,Передній привід,Краща ціна / Реєстрація в салоні / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1264549-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1861979.html
Opel Grandland X 2020 Innovation 1.2 PureTech 8AT (130 к.с),24551,670000,Кропивницький (Кіровоград),Бензин (1.2 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0% / Користується популярністю,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__1234208-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1861233.html
Opel Astra J 2019 Enjoy 1.4Т АТ (140 к.с),17589,480000,Дніпро (Дніпропетровськ),Бензин (1.4 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-astra-j__1008751-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-astra-j-1849165.html
Opel Insignia 2019 Innovation Navi Grand Sport 2.0D AT (170 к.с) Start/Stop,32942,899000,Дніпро (Дніпропетровськ),Дизель (2.0 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-insignia__995301-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-insignia-1825592.html
Opel Astra J 2020 Enjoy 1.4Т МТ (140 к.с),17413,475200,Хмельницький,Бензин (1.4 л),Механічна,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-astra-j__617083-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-astra-j-1810322.html
Opel Mokka 2021 Elegance 1.2 PureTech MT (101 к.с),21473,586000,Черкаси,Бензин (1.2 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1255886-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1862019.html
Opel Zafira Life 2021 Business Innovation 2.0 BlueHDi AT (180 к.с) L1,53811,1468530,Херсон,Дизель (2.0 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-zafira-life__1291501-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-zafira-life-1863934.html
Opel Crossland 2021 Edition Direct Injection 1.2 MT (82 к.с),18672,509580,Херсон,Бензин (1.2 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland__1291357-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-1863925.html
Opel Mokka 2021 Elegance 1.2 PureTech MT (101 к.с),21191,578300,Херсон,Бензин (1.2 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1291407-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1863928.html
Opel Crossland X 2021 Individual 1.2 MT (82 к.с),17816,486200,Харків,Бензин (1.2 л),Механічна,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland-x__1207747-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-x-1788666.html
Opel Corsa 2021 Elegance 1.2 PureTech AT (101 к.с),19029,519300,Харків,Бензин (1.2 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-corsa__1266889-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-corsa-1862847.html
Opel Combo Cargo 2021 Essentia 1.6 HDi MT (92 к.с) L1 (650),18530,505700,Херсон,Дизель (1.6 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-cargo__1291431-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-cargo-1863930.html
Opel Corsa 2021 Elegance 1.2 PureTech AT (101 к.с),19970,545000,Полтава,Бензин (1.2 л),Автомат,Передній привід,Реєстрація в салоні / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-corsa__1224207-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-corsa-1860758.html
Opel Combo Life 2020 Enjoy 1.5 BlueHDi AT (130 к.с) L2 S/S,26465,722250,Одеса,Дизель (1.5 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-life__967687-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-life-1845139.html
Opel Crossland X 2021 Enjoy 1.2 MT (82 к.с),18175,185,Полтава,Бензин (1.2 л),Механічна,Передній привід,Ціну знижено / Реєстрація в салоні / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland-x__1242010-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-x-1860403.html
Opel Combo Cargo 2021 Essentia 1.6 HDi MT (92 к.с) L2 (950),20483,559000,Полтава,Дизель (1.6 л),Механічна,Передній привід,Реєстрація в салоні / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-cargo__1006392-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-cargo-1838853.html
Opel Combo Cargo 2021 Essentia 1.6 HDi MT (92 к.с) L2 (950),20483,559000,Полтава,Дизель (1.6 л),Механічна,Передній привід,Реєстрація в салоні / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-cargo__1006392-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-cargo-1838853.html
Opel Zafira Life 2021 Business Innovation 2.0 BlueHDi AT (180 к.с) L2,52723,558,Одеса,Дизель (2.0 л),Автомат,Передній привід,Ціну знижено / Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-zafira-life__1287872-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-zafira-life-1863744.html
Opel Astra K 2018 Individual 1.4 AT (150 к.с) Start/Stop,19051,201,Хмельницький,Бензин (1.4 л),Автомат,Передній привід,Ціну знижено / Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-astra-k__439436-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-astra-k-1735029.html
Opel Combo Cargo 2021 Essentia 1.6 HDi MT (92 к.с) L2 (950),20520,560000,Одеса,Дизель (1.6 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-cargo__1287503-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-cargo-1863729.html
Opel Zafira Life 2021 Enjoy 2.0 BlueHDi MT (150 к.с) L2,40553,1106700,Дніпро (Дніпропетровськ),Дизель (2.0 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-zafira-life__1212025-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-zafira-life-1860159.html
Opel Combo Life 2020 Enjoy 1.5 BlueHDi AT (130 к.с) L1 S/S,25026,682960,Дніпро (Дніпропетровськ),Дизель (1.5 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-life__1090336-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-life-1846012.html
Opel Vivaro груз. 2021 Essentia 2.0 BlueHDi MT (150 к.с) L1,31344,855400,Дніпро (Дніпропетровськ),Дизель (2.0 л),Механічна,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-vivaro-gruz__1211643-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1858193.html
Opel Combo Life 2020 Innovation 1.5 BlueHDi AT (130 к.с) L1 S/S,26566,725000,Дніпро (Дніпропетровськ),Дизель (1.5 л),Автомат,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-life__1186406-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-life-1834185.html
Opel Combo Life 2020 Innovation 1.5 BlueHDi AT (130 к.с) L1 S/S,26562,724900,Хмельницький,Дизель (1.5 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-life__1266607-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-life-1851006.html
Opel Combo Cargo 2021 Essentia 1.6 HDi MT (92 к.с) L2 (950),20520,560000,Дніпро (Дніпропетровськ),Дизель (1.6 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-cargo__846667-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-cargo-1835141.html
Opel Movano груз. 2020 2.3TD МТ (125 к.с) L2H2 3500 FWD,31751,866500,Хмельницький,Дизель (2.3 л),Механічна,Передній привід,Кредит до 3 років під 0% / Під замовлення - 15 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-movano-gruz__1004491-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-movano-gruz-1848706.html
Opel Crossland 2021 Elegance Direct Injection Turbo 1.2 AT (110 к.с),23233,634050,Кропивницький (Кіровоград),Бензин (1.2 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland__1284028-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-1863610.html
Opel Grandland X 2021 Enjoy 1.5D 6MT (130 к.с) Start/Stop,24140,658800,Хмельницький,Дизель (1.5 л),Механічна,Передній привід,Кредит до 3 років під 0% / Під замовлення - 60 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__673834-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1818004.html
Opel Corsa 2021 Elegance Direct Injection Turbo 1.2 AT (100 к.с),20064,547550,Хмельницький,Бензин (1.2 л),Автомат,Передній привід,Кредит до 3 років під 0% / Під замовлення - 10 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-corsa__1248401-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-corsa-1862011.html
Opel Combo Cargo 2021 Essentia 1.6 HDi MT (92 к.с) L2 (950),20520,560000,Черкаси,Дизель (1.6 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-combo-cargo__1269489-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-combo-cargo-1862352.html
Opel Grandland X 2020 Enjoy 1.5D 6AT (130 к.с) Start/Stop,24917,680000,Дніпро (Дніпропетровськ),Дизель (1.5 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__1246676-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1861933.html
Opel Grandland X 2021 Innovation 1.5D 8AT (130 к.с) Start/Stop,29152,795580,Дніпро (Дніпропетровськ),Дизель (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__1188189-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1863400.html
Opel Crossland X 2021 Enjoy 1.2 MT (82 к.с),17816,486200,Дніпро (Дніпропетровськ),Бензин (1.2 л),Механічна,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland-x__1186281-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-x-1858296.html
Opel Grandland X 2021 Enjoy 1.5D 6MT (130 к.с) Start/Stop,24140,658800,Хмельницький,Дизель (1.5 л),Механічна,Передній привід,Кредит до 3 років під 0% / Під замовлення - 60 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__784328-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1860137.html
Opel Crossland 2021 Elegance Direct Injection Turbo 1.2 AT (110 к.с),23468,640450,Хмельницький,Бензин (1.2 л),Автомат,Передній привід,Кредит до 3 років під 0% / Під замовлення - 10 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland__1276745-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-1863260.html
Opel Crossland X 2020 Enjoy 1.2 MT (82 к.с),17137,467680,Хмельницький,Бензин (1.2 л),Механічна,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland-x__928605-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-x-1843928.html
Opel Grandland X 2021 Innovation 1.5D 8AT (130 к.с) Start/Stop,29323,800230,Хмельницький,Дизель (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0% / Під замовлення - 45 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-grandland-x__937618-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-grandland-x-1844501.html
Opel Vivaro груз. 2021 Essentia Crew Cab 2.0 BlueHDi MT (150 к.с) L2,39611,1081000,Кропивницький (Кіровоград),Дизель (2.0 л),Механічна,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-vivaro-gruz__1119670-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1855628.html
Opel Mokka 2021 Elegance 1.2 PureTech MT (101 к.с),21191,578300,Харків,Бензин (1.2 л),Механічна,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1255781-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1862391.html
Opel Mokka 2021 Elegance 1.2 PureTech AT (130 к.с),24869,678680,Хмельницький,Бензин (1.2 л),Автомат,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1279942-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1863403.html
Opel Crossland X 2021 Enjoy 1.2 MT (82 к.с),18292,499210,Дніпро (Дніпропетровськ),Бензин (1.2 л),Механічна,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland-x__1179477-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-x-1858490.html
Opel Crossland X 2021 Enjoy 1.2 MT (82 к.с),17585,479900,Хмельницький,Бензин (1.2 л),Механічна,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland-x__1203219-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-x-1857980.html
Opel Crossland X 2021 Enjoy 1.2 MT (82 к.с),18175,496000,Черкаси,Бензин (1.2 л),Механічна,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-crossland-x__1180339-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-crossland-x-1858522.html
Opel Mokka 2021 Elegance 1.2 PureTech AT (130 к.с),24579,670780,Кропивницький (Кіровоград),Бензин (1.2 л),Автомат,Передній привід,Краща ціна / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1283610-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1863573.html
Opel Mokka 2021 Elegance 1.2 PureTech AT (130 к.с),24579,670780,Кропивницький (Кіровоград),Бензин (1.2 л),Автомат,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/opel-mokka__1282270-341x224x70.jpg,https://auto.ria.com/newauto/auto-opel-mokka-1863515.html
